@relation TestSet.arff-weka.filters.unsupervised.attribute.Remove-R1

@attribute Em numeric
@attribute Ed numeric
@attribute El numeric
@attribute LEm numeric
@attribute ATm numeric
@attribute Asm numeric
@attribute ASd numeric
@attribute EDm numeric
@attribute FPm numeric
@attribute FMm numeric
@attribute FCm numeric
@attribute Tm numeric
@attribute Td numeric
@attribute PCm numeric
@attribute PCd numeric
@attribute Pm numeric
@attribute Pd numeric
@attribute Cm numeric
@attribute Cd numeric
@attribute Cl numeric
@attribute Chh numeric
@attribute KCm numeric
@attribute KCd numeric
@attribute Mm numeric
@attribute Md numeric
@attribute Hm numeric
@attribute ESm numeric
@attribute Rm numeric
@attribute Im numeric
@attribute Id numeric
@attribute Bm numeric
@attribute Bd numeric
@attribute SCm numeric
@attribute SCd numeric
@attribute Zm numeric
@attribute Zd numeric
@attribute Sm numeric
@attribute Km numeric
@attribute SEm numeric
@attribute SEd numeric
@attribute SFm numeric
@attribute Fm numeric
@attribute REm numeric
@attribute REd numeric
@attribute M1m numeric
@attribute D1m numeric
@attribute M2m numeric
@attribute D2m numeric
@attribute M3m numeric
@attribute D3m numeric
@attribute M4m numeric
@attribute D4m numeric
@attribute M5m numeric
@attribute D5m numeric
@attribute M6m numeric
@attribute D6m numeric
@attribute M7m numeric
@attribute D7m numeric
@attribute RSm numeric
@attribute RSd numeric
@attribute RRm numeric
@attribute RRd numeric
@attribute RTm numeric
@attribute RTd numeric
@attribute RGm numeric
@attribute RGd numeric
@attribute class {aggressive,happy,relaxed,sad}

@data
0.12894,0.003749,0.002211,0.580653,0.058792,1082012.391003,980523.321154,4.404234,849,2578.682492,4.867059,135.508801,8.272383,0.324731,0.132968,429.476829,458.411806,0,0.337034,0.176756,-32257568105.031004,0.464265,0.142582,-0.038115,0.094884,0.333905,0.942598,1783.641621,?,?,0.955098,0.029552,4440.976617,774.676996,3187.29983,945.788502,0.79013,75756725268.616544,0.87086,0.024004,107.067248,0.095642,0.482133,0.23736,0.112248,0.000448,0.373713,-0.000543,0.997046,-0.000179,0.136888,-0.000096,0.173894,-0.000146,0.269012,-0.000416,0.200482,0.000043,47.204444,21.738519,53.600388,39.698359,63.557135,41.832562,68.050005,37.982686,aggressive
0.2855,0.007283,0.005037,0.546382,0.054875,7307263.779137,4607264.883677,6.16622,842,4624.548898,4.814328,129.156577,25.727672,0.546452,0.07193,738.590784,397.416038,0,0.324285,0.161429,-35956779473.169936,0.523401,0.155239,-0.039389,0.115785,0.346367,0.925998,4849.300685,?,?,0.921631,0.045754,3575.879481,693.449975,2144.874582,740.906649,0.592554,290358277526.407168,0.846594,0.029668,238.713047,0.152428,0.462824,0.232586,0.873813,0.000108,0.017432,0.000041,0.390971,-0.000139,0.035157,-0.000218,0.208623,0.000013,0.168837,0.000126,0.214563,0.000202,54.116785,22.528348,37.501221,20.802084,77.543576,44.789592,82.960007,41.743042,aggressive
0.195721,0.006218,0.00277,0.536004,0.052886,2588114.521361,2379014.672897,3.578529,818,6026.602228,4.605128,123.990616,13.781933,0.362734,0.106573,632.354873,392.580427,0,0.365787,0.147889,-24000867266.308412,0.442426,0.142509,-0.056259,0.106091,0.333109,0.933236,1933.585054,?,?,0.921946,0.032995,4091.8361,633.215578,2121.355372,786.0401,0.775321,140164284349.692992,0.86227,0.022017,159.071806,0.128522,0.542542,0.283291,1.176418,-0.000173,0.032944,-0.000647,0.37975,-0.000105,0.060437,0.000292,0.176522,-0.000319,0.052917,-0.000001,0.067837,0.000613,51.02431,30.871097,69.976415,59.482751,49.573068,24.881059,60.317923,30.31344,aggressive
0.19385,0.005536,0.00215,0.515218,0.051667,1751351.564677,1276126.832941,5.060322,482,2670.894919,4.781543,141.252663,20.89833,0.597087,0.11996,741.818835,401.825319,0,0.309368,0.161554,-33192804138.457508,0.5116,0.146837,0.021302,0.137075,0.401779,0.926265,2587.732127,?,?,0.936558,0.022875,3643.519126,658.19459,2113.570234,477.940714,0.727733,153464721781.195424,0.847202,0.024308,147.741431,0.104122,0.581472,0.278867,0.859277,0.000348,-0.23134,-0.000647,0.49823,-0.00065,0.082753,-0.000111,0.210537,0.00022,0.073489,-0.000436,0.123847,-0.000215,59.73571,25.790115,46.106264,21.757741,71.750927,36.800473,72.846802,33.974064,aggressive
0.298894,0.007483,0.004069,0.548059,0.047348,6233917.816591,3946903.758839,6.769437,754,3325.364217,4.666323,126.449854,24.073186,0.365373,0.063714,726.273153,419.259633,0,0.358103,0.10552,-39398294205.336208,0.451076,0.141233,0.009968,0.092103,0.366104,0.904162,3934.817216,?,?,0.900719,0.041771,2712.229428,557.535716,1346.496656,439.632046,0.559654,321239677190.687744,0.809903,0.029374,244.768699,0.116506,0.509703,0.261619,1.4081,-0.000311,-0.431843,-0.000304,0.451543,0.000024,-0.112417,0.000693,0.403355,0.001016,0.145683,0.000308,0.217194,-0.000112,43.027073,21.25944,37.698845,22.425,54.368435,30.883196,54.320102,25.594209,aggressive
0.299681,0.008868,0.004825,0.556387,0.053047,7212016.024242,6088584.27205,4.792225,922,4077.280721,4.618822,131.262401,24.90181,0.28224,0.15569,626.607009,390.820562,0,0.202773,0.166491,-24354838706.504448,0.53362,0.159,-0.01898,0.106284,0.329722,0.909227,4081.347408,?,?,0.932518,0.04533,2938.149365,642.201999,1531.563545,518.052982,0.552265,325487313607.258496,0.816463,0.035099,230.010271,0.097803,0.647794,0.263143,1.589971,-0.001248,-0.349867,0.001326,0.668004,-0.0007,0.018326,0.000534,0.124156,-0.000034,0.002609,0.000391,0.116986,-0.000222,67.598363,43.974733,76.530825,61.813925,66.937652,48.734059,77.831412,58.910333,happy
0.268772,0.012821,0.006271,0.506071,0.073297,7715800.706062,6804634.362848,3.853887,1099,7791.546414,4.411238,117.718644,24.885639,0.298809,0.073218,469.086577,292.267578,0,0.349145,0.37315,-23325987920.582984,0.517289,0.152716,0.003011,0.113809,0.403901,0.924877,3358.964595,?,?,0.971222,0.061456,3835.682466,1145.705356,2249.51505,1318.147654,0.642047,265714291510.623424,0.837874,0.045956,216.243252,0.109617,0.709425,0.366487,1.309728,0.000182,-0.162556,-0.000463,0.169902,-0.000943,-0.393996,0.000446,-0.105136,0.001278,-0.121266,0.000393,-0.083899,0.000501,52.365483,25.882009,26.051964,18.326761,68.919295,44.842062,73.573569,42.043618,happy
0.171803,0.005489,0.002083,0.450392,0.063941,1515284.157685,1142516.102276,3.676471,754,7158.57984,4.893605,115.295241,15.592674,0.576723,0.131305,432.644381,344.594551,0,0.297523,0.36436,-30933402734.721672,0.526273,0.166372,-0.004069,0.124186,0.379272,0.914029,1195.908162,?,?,0.946225,0.029192,3074.29208,797.356624,1648.615513,844.45728,0.771107,114108270572.751504,0.80535,0.042315,115.303139,0.083244,0.749231,0.351293,1.718988,-0.001187,-0.062382,0.0012,0.68318,-0.000325,0.240487,0.000016,0.067903,0.000047,0.137697,0.000304,0.087411,0.000925,81.240444,36.075541,52.805869,35.14639,92.056056,53.705742,102.466769,49.647693,happy
0.286972,0.010005,0.006225,0.579488,0.063352,9839727.072991,7833086.063685,3.682625,799,14643.729237,4.667767,125.930818,7.691249,0.734388,0.048218,629.278807,388.430786,0,0.305506,0.252309,-30132522953.373544,0.555208,0.148738,-0.034993,0.115813,0.347351,0.936104,3413.522618,?,?,0.915271,0.054963,4477.539744,1013.540587,2351.261487,1033.67408,0.707787,223325241132.623712,0.851079,0.042399,226.469573,0.252281,0.604754,0.308742,1.358072,-0.002214,0.096154,0.000408,0.364077,-0.00092,0.031316,0.000003,0.21632,-0.000127,0.028174,0.000231,0.09495,-0.000256,54.162523,25.721891,31.493112,25.450652,62.17553,35.715579,65.565755,32.383575,happy
0.141074,0.004994,0.003294,0.546074,0.075063,2390981.460613,2588039.199386,2.485089,801,8618.557808,4.669354,127.372338,1.325397,0.459521,0.11018,578.579849,359.336432,0,0.371059,0.26565,-25199056198.133416,0.624687,0.128243,-0.009994,0.14851,0.292406,0.925011,1104.560868,?,?,0.947531,0.042406,3617.843667,958.454807,2190.099174,976.529357,0.82876,118264507377.639008,0.829856,0.040628,110.531624,0.086143,0.49811,0.226925,1.583693,0.002194,-0.141731,0.000713,0.589314,-0.000799,-0.193229,0.000162,0.265399,0.000162,-0.005411,-0.000098,0.302977,-0.00048,61.694754,30.289671,45.946532,21.690858,66.583225,37.895113,71.673833,35.109742,happy
